Standard,Non-Standard
sa kalokohang ginawa,s kloqhng ginwa
bakit ka pa kumuha,bk8 k p qmuha
Talagang bibigyan ka,tlgng bbigyn k
akala ba naman niya,kla b nmn nia
sobra parang bata,xobra prng bta
mga dahilan walang,mha dhilan wlang
Nanahimik siya dala,nnhimik xa dla
akala mo naman,kla u nman
ayos ka din,aus k dn
bakit ayaw niyong magsampa,bat ayw niong mgsampa
Bakit may mga ganitong babae,bkt my mha gni2ng bbae
ikaw pa ang iiyak,ikw p an iiyaq
Dapat ka talagang,dpt k talgng
ay bakit mo ginalaw,ai bkt m ginlw
Mahirap magtiwala sa,mhirp mgtiwla s
hindi pala kay kuya yan,di pla ky kua yn
sinungaling ang babae,Cnongaling an ba2e
dumadami talaga,dumdmi tlga
madaming gahaman at manloloko,mdming ghamn at mnloloq
huwag kang umiyak,Hwag kng umiyk
lumaban ka lokaloka,lumbn k loka2x
dami talagang makakapal,dmi tlgang mkkapal
mo pa,mupa
alam mo palang wala na kayo,alm u plang wla n kau
bakit ginagamit mo pa,bkit ginm8 u p
ano pang aayusin,nu png aaucn
binigay kasi nagtiwala,bngy kc ngtiwla
sayo minahal ka,syo minhlk
hindi para lokohin mo,di pra loqhin u
kawawa lang ang anak mo,kwwa lng an ank u
tuloy lang kaso,2loy an kso
Dapat hindi ito,dpt ndi i2
kaya maraming niloloko,kya mrming niloloq
ligtas yung isang,ligts ung 1ng
pero hindi naman sa kanya,pro di namn s knya
dapat sinabi mo agad,dpat cnbi u agd
yung dinadala mo,ung dindla u
ikaw naman may,ikw nmn my
kasalanan sa lahat,kslnan s lht
gagamit pa ng perang,ggm8 p nh perng
walang hiyang babae,wlng hiyng bbae
kaya mag ingat,kya mg ingt
Hindi porke ginalaw mo,di 4ket ginlw m
sayo na yung bata,sau n ung bta
matuto magbilang,ma22 mgbilng
sa simula palang,s cmula plang
tapos hindi din pala,tas ndi dn pla
Magbibigay ba yun,mgbbigy b un
kung alam niya,kng alm nia
maging patas ka sana,mging pts k sna
walang dapat ipaliwanag,wlang dpat ipliwnag
bayaran niya kasi,byran nia ksi
hindi naman sa kanya yan,d nmn s knya yn
hindi man lang,di mnlng
Masakit yung ginawa mo,msakit ung ginwa m
sinabi na pwede mong,cnbi n pde mung
talaga babae ngayon,talga bbae ngyon
mo palang hindi siya,m plang d sya
ka pa,Kapa
may gana ka pa talaga,my gna k p talga
damay mo pa anak mo,dmy u p ank u
kaya ka pinayagan,kya k pinygan
na gamitin yun,n gmitin un
yang dinadala mo,yng dindla m
Dapat hindi ka,dapt ndi k
magtiwala sa ibang tao,mgtiwla s ibng taa
lalo kung usapang pera,llo kun uspng pira
umiyak lang yung babae,umiyk lng ung bbae
yung ginawa niya paano,ung gnawa nya pnu
lang ba pwedeng makaranas,lng b pdeng mkranas
siya lang ba,Sya lng ba
pwedeng masaktan,pdeng msaktan
baka gumamit ka lang,bka gumm8 k lng
na kanya ang bata,n knya an bta
dami mong sabi,dmi mung ebas
hindi yan aabutin,hndi yn aabu10
dahil kahit sabihin natin,dhl kht sbihin ntin
hindi pa rin sosobra,di p rn ssobra
Huwag mong gamitin,wag mung gmitin
lahat na lang sayo,lht n lng sau
baka mapaano pa ako Dito,bka mpano p aq d2
pananalita palang,pnnlita plng
halata ka na,hlta k n
naramdaman ng lalaki,nramdman nh llki
siya na magiging,cia n mgiging
ganoon nalang,gnun nlng
syempre Mahal niya,xiempre mhal nia
na rin,narin
namemera lang yun,namimira lng ung
alam niya na hindi,alm nea n di
gastos pa rin niya,gas2s p rn nea
minsan lang ako,mnsn lng aq
yung mga sabi mo,ung mha ebas u
pero grabe sobrang,pro ebarg sobrng
Bahala na ang karma,bhla n an krma
Pag ayusin daw,pg aucn dw
ano yun hindi niya,anu yn di nya
idol pa naman kita,lodi p nman kta
huwag mo,wagmu
ano ba yan,anu bayan
kahit may bata yan,khit my bta yn
kampihan yang babae,kmpihn yng bbae
mali naman yang babae,mli nman yng eabab
dapat tulungan mo,dapt 2lungn m
kakahiya yan,kkhiya yn
ipakulong yung,Epakolong yong
bakit ginastos niyo,Baket genastosnyu
kung hindi pala,Kon de pla
para mabawasan dito,pra mbwasan d2
dapat sa ganito,dpt s gni2
May panlolokong nangyari,my pgloloqng nngyri
dito sa balat,d2 s balt
kung anong sabi,qng anng ebas
napunta ako dito,mpnta aq d2
dahil sa pangalan,dhil s pngln
hindi mo yun pera,di m un pira
ako may ibinigay sakin,aq my ibnigy skin
gusto ako ang maghawak,gs2 aq zn mghwak
kahit kaunti hindi ako kumuha,khit konti ndi aq qmuha
dahil hindi sakin yan,dhil di skin yn
ginamit mo pera hindi sayo,gnamit m pira d sau
hindi pala sa lalaki,nd pla s llki
sana kapag tungkol,sna pg 2ngkol
para hindi na umulit,pra hnd n umul8
sino ba tatay nyan,cno b ttay nyn
Sa ginawa mo ate,s gnwa u te
kahit sino masasabi,khit cno mssabi
niya bayaran mo,nya byaran mu
Sobrang Sinungaling,sobrng cnungaling
dami palusot,dmi plusot
kalagyan ng babae,klgyan nh ba2e
kasi akala niya kanya,kc kla nya knya
Dapat talaga ibalik,dpt tlga iblik
naka taya dyan sa perang,nka tya dyn s perng
maraming sablay na din,mrming sbly n dn
Kinakampihan ang mga makapal,kinkmpihn an mha mkpal
Natural pinahawak,na2rl pinhwak
sa kanila ang pera dahil,s knila an pira dhil
Masakit Ang nangyari Kay kuya,msk8 an nngyri ky kua
Kasi sa maganda,kc s mgnda
Kung matagal na pala,qng mtgal n pla
Sa madaling salita,s mdling slita
ginamit niya lang yung,ginm8 nya lng ung
para may pang gastos siya,pra my png gs2s xya
nasaan yung hiya mo,nsan ung heya mu
Walang maniwala sayo,wlng mniwla sau
bakit kinuha mo,bk8 qinuha u
dyan ka ngayon,jan k ngyon
Natawa lang ako,ntwa lng aq
kailangan sa sitwasyon,kelngan s ctwasyun
hindi biro ang ninakaw,di bro an ninkaw
Wala kang pangbayad,wla kng pngbyad
huwag mong gamitin anak mo,wag mung gmitin ank mu
kaya sobrang galit ako,kya sobrng gl8 aq
sa ganyang klaseng babae,s gnyng klcng bbae
habang gumagastos ka,hbng gumgs2s k
dami na ngayon na malandi,dmi n ngyon n mlndi
maganda ka sana,mgnda k sna
pero sobrang landi,pro sobrng lndi
Hindi ka nag pakita,di k ng pkita
nakakatawa ang pag sagot,nkktawa an pg sgot
patawa mga sabi mo,ptwa mha ebas m
Napaka sama mo naman,npka sma u nman
para lokohin ang tulad,pra loqhin a 2lad
sasabihin mong matagal na,ssvhin mung mtgal n
matapos mong,mtpos mung
ikaw pa naging nanay,ikw p nging nnay
sana hindi niya manahin,sna d nia mnhin
sabay magtatago ka,sby mgttgo k
kasi wala na yung kalahating,kc wla n ung klahting
umayos ka,umaus k
ayusin mo ginagawa,aucn u gingwa
lokong babae ito,loqng eabab i2
sa simula pa lang,s cmula p lng
sana po matulungan,sna poh mtulungan nyo
hindi ko siya nakita,dko xa nkita
siya nalang gusto ko makita,xa nlng gus2 k mkita
Baka ako pa,bka aq p
makapatay dyan,mkptay sau
kapal naman ng mukha,Kapl nmn nh muka
kung may kapal ka,Kun my kpal kah
hindi mo gagamitin,hnd m ggmitin
ka pa,kp
huwag niyo ibigay,wag nyo ibigy
sa ganyang babae,s gnyng bbae
Kahit pa yan hindi,kht p yn ndi
yung sabi niya,ung ebas nya
dahil alam niya,dhil alm nia
kaya niya nga ibinigay,kya nia nha ibnigy
para sa bata,pra s bta
tulungan mo naman yung,2lungn u nmn ung
bakit pilit mo pag ayusin,bt pil8 m pg aucn
mali ka dyan,mli k jan
huwag mo na,Wg muna
hindi na,dina
hindi na dapat ayusin,di n dpat aucn
huwag mo gamitin,wg m gmi10
dahil halata naman,dhil hlta nman
na ginamit mo lang siya,n ginm8 u lng xa
May karma ang tulad Niyo,my krma an 2lad nio
mga babae na yan,manga babe nayan
tingnan natin saan kayo,tngnn ntin san kau
naku naman,nku nman
hindi naman niya,hnd nman nia
Magaling magpaikot,mgling mgpaiqt
Isa lang masasabi ko,1 lng mssbi q
sinungaling ka talaga,cnungaling k tlag
wala na kayo bakit,Wla n kyo bat
ka pa ng pera,kapa nh pira
lahat malayo sa tanong,lhat mlau s tnong
intensyon talaga,entintion u talga
perahan yung sundalo,perhn ung xundlo
binigyan karapatan,bnigyn krptan
bakit naman niya,Bat nman nya
sa anak ng iba napunta,s ank nh ib npunt
yung perang pinaghirapan,ung perng pinghirpn
Sabi ni babae,sbi ne ba2e
daw siya,dw xya
yung sundalo pala,ung xundlo pla
Sa simula pa lang,s cmula plng
dapat nagtapat ka na,dpt ngtpat k n
halata ka na,Hlta kn
Grabe malaki halaga,ebarg mlking hlga
na kinuha tapos,n qinuha tpos
hindi pala niya,nd pla nia
balik mo na lang,blik u n lng
kahit paano yung sakit,kht pano ung skt
sa mga ginawa niya,s mha ginwa nia
lahat ng pwede,lht nh pde
hindi ka patas,di k pts
kapag babae mali,pag bbae mli
parang hindi mahalaga sayo,prng di mhlaga sau
Sakin lang naman,skin lng namn
alam mo na hindi yan,alm u n di yn
ikaw may mali dito,ikw my mli d2
medyo makapal lang talaga,mejo mkpal lng tlga
kayo tapos Hindi siya,kau tas di cya
kawawa talaga si kuya,kwwa talg c kua
grabe may ganitong,grbi my gni2ng
klaseng babae pala,klcng bbae pla
alam niya palang,alm nia plang
hindi sa kanya yung,d s knya ung
pero nagpa sustento pa,pro ngpa susten2 p
Lagi pa dahilan,lgi p dhiln
Hindi lang ibalik,di lng iblik
ipakulong dapat yan,ipaqlong dpt yn
Kung wala na pala,qng wla n pla
Ang sabihin mo,an sbihin u
kung sa iba mo ginawa yan,qng s ib m ginwa yn
baka pinatay ka na,bka pinty k n
sobrang sakit noon,sobrng sk8 nun
grabe yung ginawa mo,grave ung ginwa u
tagos hanggang buto,tgos hnggng bu2
niloko pa hindi pala,niloq p hndi pla
sayang lang mukhang,syng lng mukng
seryoso pa naman si,seriouso p nmn c
pero niloko mo lang,pro niloq u lng
Ang galing mo,an gling m
gumawa ng kwento,gumwa nh kwen2
Matagal na pala,mtgal n pla
hindi kayo tumanggap,di kyo 2mnggap
Naku naman,nku nmn
sakit naman talaga yan,skt nman tlaga yn
bakit lagi rason nalang,bat lge rson nlng
ano na ba nangyayari,nu n b nangyyri
na talaga magtiwala sa,n tlg mgtwl s
kahit sino tungkol,kht cno 2ngkol
kasuhan mo na,Ksuhn u n
si babae para matuto,c bbae pra matoto
ginawa ka niyang,gnwa k nyng
huwag kang palusot,wag kng plusot
hindi pala niya,d pla nya
Wala naman pala,wla nmn pla
Dapat dyan makulong yan,dpat jan maqlong yn
siya na nga mismo nagsabi,xia n nha msmo ngsbi
gusto mo pa,gus2 mopa
talagang ipilit,tlgang ipil8
para bang gusto,pra bng gs2
mo lang,molang
wala na kasing pera,wla n kcng pira
Kasalanan mo pa rin,kslann u prin
ang hirap ng trabahong yan,an hirp nh trbhong yn
hirap maging sundalo,hirp mging xundlo
Syempre nagbigay siya,xempre ngbigy xa
kasi akala niya,kc akla ny
para madala yan,pra mdla yn
nakakatawang babae ito,nkkatwang bbae i2
siguro anak niya yung,cguro ank nya ung
kaya pinayagan siya,kya pinygan xa
gastusin para sa,gs2sin pra s
makapal yung mukha,mkpl ung muka
gumawa ng salita,gumwa nh slita
dahil marami manloloko,dhil mrmi mnloloq
nalang kasi nakakuha,nlng kc nkkuha
ganyan dapat wala,gnyn dpt wla
karapatan maging,kraptan mging
Hindi mo alam,di u alm
pero ikaw walang pakialam,pro ikw wlng pkialm
Samahan mo na rin,smhan u n rn
drama drama,drama2
makahanap ka pa,mkahnap kpa
makaganti ka,mkganti k
Dapat makulong,Dpat mkolong
hindi mo,dmo
grabe naman,Grbi nmn
buhay ang naka salalay,bohai an nka slaly
para kumita sila,pra qmita cla
niloko ka lang,Niloq klang
kunin mo yung,qnin m ung
ikaw ang nagbayad,ikw an ngbyad
Kapatid daw,kptid dw
Pero nawala yung,pero nwala ung
Saan napunta,san npunta
paki bigyan naman,Pki bigyn nmn
nang sinabing,nng cnbing
pag aayusin nalang,pg aaucn nlng
dadating sayo,ddating sau
dapat mag bayad ka,dpt mg byad k
hindi basta basta,nd basta2x
nakataya ang buhay nila,nktaya an bohai nla
ganon ganon lang,ganon2x lng
bakit hindi ka bigyan,bkit di k bigyn
alam niya kanya yun,alm nia knya un
hindi mo pera ginamit mo,di u pira ginm8 m
kahit saan tingnan,kh8 sn tingnn
mali ka pa rin,mli k p rn
huwag ka ganyan,wag k gnyan
bakit naman ganon,Bkt nman gnon
sabi nagamit niya,sbi ngm8 nia
tapos noong sinabi na,tas nung cnbi n
yung sinisingil niya,ung cnicngil nia
biglang sinabi na hindi,bglng cnbi n ndi
lang niya kanina,lng nia knina
biglang sabi naman,bglng sbi nman
na nagamit niya pala,n ngm8 nya pla
Ano ba talaga,nu b talga
naku halata masyado,nku hlta mxado
Ayoko na talaga,auq n tlga
dahil sa sama,dhil s sma
dapat sayo,dpat sau
kita na niloko,kta n niloq
huwag Kang papayag,wg kng ppyag
Daming matitino,dming mtitino
na katulad namin,n k2lad nmin
bakit laging napupunta,bkit lging npupunta
hindi madadala sa usap yan,di mddala s usp yn
hindi ka man lang,nd k mn lng
bakit sarap na sarap ka,bk8 srp n srp k
Nakakahiya ka,nkkhiya k
Bayaran mo yan,byran u yn
Sobra galit niya sayo,xobra gl8 nya sau
hindi sapat pera,di spt pira
yung tiwala niya sinamantala mo,ung tiwla nia cnmntala u
ingat ka lang dyan,ingt k lng jan
ano akala mo dyan,nu kla m jan
dapat sayo madala,dpat sau mdla
ayos lang sana kung,aus lng sna qng
tapos hindi pala kanya,tas d pla knia
hindi mo pinag hirapan yan,di m ping hirpn yn
pag ayusin nalang,pg ausin nlng
Kahit gaano kabigat kaso,khit gno kbigt kso
kapal mukha ka,Kpal muks k
Alam mo pala na hindi,alm m pla n ndi
man lang inisip,mn lng incp
kung paano ang hirap,kng pano an hirp
hindi mo alam,di m alm
Pera lang pala gusto mo,pira lng pla gus2 u
hindi naman pala kay,Hnd nmn pla ky
kung gaano katagal,qng gno ktgal
Isa yan sa panloloko,1 yn s pnloloq
dapat hindi niya ginawa,dpt d nia ginwa
kahit saan mo Kunin,kh8 san m qnin
dapat makulong ganyan,dpt mqlong
Kaunting hiya naman,qnting heya nmn
na naman ang dahilan,n nman an dhiln
iyak iyak,iyak2x
bakit nagamit pa niya,bkt ngm8 p nia
hindi naman,dnmn
saklap ng nangyari,sklap nh ngyari
gumastos siya sa,gums2s cya s
Ipakulong yang babae,ipaqlong yng bbae
ito para Hindi tularan,i2 pra di 2lran
Kaya dumadami sila,kya dumdmi cla
namimihasa na yan,nami2hasa n yn
ginastos mo hindi sayo,gins2s m nd sau
walang problema,wlng prob5
ayaw mo pa,ayw mupa
sinisisi mo pa si,cnicc m p c
babae na ito,bbae natu
sobra ka naman,xobra k nman
Bayaran mo yan,byran u yn
Baka naman yung,bka nmn ung
naman Yun tunay,nmn un 2ny
yan ang sabihin mo,yn an sbihin u
dami mong sabi,dmi mung ebas
dapat sayo binibigyan,dpt sau bnibgyn
pwede po ba ito,pde pu b i2
masabi na,msbi n
para hindi na,pra hd n
Hindi sa kanya,d s knia
pero siya pinagastos,pro xia pings2s
simula palang may,cmula plng my
bakit hindi mo binalik,bkit ndi u binlik
Meron talaga Ganyan,mron tlga gnyan
tapos magaling mang,tpos mgling mng
Baka yung sinasabing,bka ung sinsbing
yan lang masagot ko,yn lng msgot q
medyo halata ka na,mejo hlta k n
sana mapansin niyo,sna mpncn nio
na lokohin siya,n loqhin cia
hindi niya basta nakuha,indi nia bsta nkuha
ang hirap maghanap,anh hirp mghnap
mahirap maghanap ng trabaho,mhirp mghnap nh trbho
sarili niyo sa babaeng yan,srili nio s ba2eng yn
huwag niyo na pagpilitan,wg nyo n pgpiltan
kung hindi mo,qong hnd mu
kasohan mo n yan,kzohan muna yn
parang ikaw pa itong,prng kw ptong
tinanggap niya pa,tinnggp nia p
yung laman na pera,un lmn n pira
Natural magbibigay,na2rl mgbbigy
yung lalaki na gamitin,ung llki n gmtin
Pero ang totoo,pro an 22o
Nakakapang init ng ulo,nkkpng in8 nh olo
huwag ka sanang,wag k snang
magkamali dito dahil,mgkmali d2 dhil
mahirap ang maging,mhirp anh mging
tapos lolokohin lang,tpos loloqhin lng
makapal ang mukha,mkpal an moka
Bayaran mo nalang,byran u nlng
para tapos na,pra tpos n
tutal mayaman ka naman,2tal myamn k nman
tapos ganyan sabihin mo,tpos gnyan sbihin u
pag ayusin malaking,pg aucn mlking
halaga yan babaeng,hlga yn bbaeng
sana mabasa mo siya,sna mbsa u xia
sinungaling yang,Cnungaling yng
kakahiya ka,kkhiya k
hindi mo,dimo
huwag Kang patalo,wag kng ptalo
sa mga ganyan,s mha gnyan
baka Hindi alam,bka ndi alm
wala na Kasi yung,wla n ksi ung
Kaya nag tatago na,kya ng ttgo n
gumagamit pa ng panakot,gumgm8 p nh pnaqt
Walang kakampi,wlng kkmpi
kahit isa si ate,kht 1 c te
buti nga sayo,bote nha sau
Dapat ikaw babae,dpt kaw bbae
huwag kang,wagkang
Ikaw naman kuya,ikw nmn kua
hindi nga sayo yung bata,nd nha sau ung bta
ipilit mong sayo,ipl8 mung sau
Dapat pumayag kang,dpat pumyg kng
ibalik na lang,iblik nlng
tapos iwan mo na yang,tpos iwn u n yng
hindi pa kayo kasal nyan,di p kau ksal nyn
hindi pa tapos ang lahat,d p tpos an lhat
kilala mo na ang babae,klla u n an bbae
Para saan pa yung,pra sn p ung
sinabi na noong babae,snv n nung bbae
huwag na pag usapan,wag n pg uspn
malinaw naman na,mlinw nman n
Pasalamat ka buhay ka pa,pslmat k buhy k p
baka kung nakatapat ka,bka qng nktpat k
wala ka na ngayon,wla k n ngaun
bakit pag aayusin lang,bkt pg aaucn lng
minsan bigyan niyo rin,mnsn bgyn nio rn
dapat si kuya ang tulungan,dpt c kua an 2lungn
huwag kampihan yang babae,wag kmpihn yng ba2e
Singilin at kasuhan,cngilin at ksuhn
ganyang klaseng,gnyng klcng
nagpapawis makahanap,ngppwis mkhnap
ako sobra yan,aq subra dyn
ko talaga yan ikaw,q tlga yn kw
parang hangin lang,prng hngin lng
Yan na maraming palusot,yn n mrming plusot
para matapos mga ganyang,pra mtpos mha gnyang
ramdam ko,rmdm q
iyak lang yan para,iyk lng yn pra
huwag ayusin lang,wag ausin lng
para matuto talaga,pra ma22 tlga
kapal naman nang mukha,kpal nmn nng muka
pera lang habol mo,pra lng hbol m
yan kasi para sana,yn kc pra sna
hindi naman,dinaman
Ginusto mo pera niya,ginus2 m pira nya
hindi ka na,dkna
tinatawa mo relasyon,tintwa m rlsyon
magbigay ba yan kung alam,mgbigy b yn qng alm
ibig sabihin isa kang,ivig sbihin 1 kng
Kahit bigyan ka man,kh8 bgyn k mn
yung pag payag na yun,ung pg pyag n un
parang kinampihan pa,prng kinmpihn p
ibalik lahat na,iblik lhat n
alam niyang mapapahiya siya,alm niang mpphiya xa
gagawa na lang kwento,ggwa n lng kwen2
dahil ang alam niya,dhil an alm nia
pero ang totoo hindi,pro an 22o ndi
Kung hindi sa kanya,qng d s knya
gaano naman kakapal,gno nmn kkpal
panloloko talag yan,Pnloloq tlga yn
Ginamit mo pa talaga,ginm8 m p talga
hindi naman pala,di nmn pla
Alam mo binigyan ka,alm m bnigyn k
Ngayon ikaw babae ka,ngaun ikw bbae k
alam mo na sa sarili,alm m n s srili
dapat hindi mo na,dpat d u n
Pinagmalaki mo pang hindi,pingmlaki u png ndi
hindi naman pala anak,nd nman pla ank
may balik sayo,my blik sau
Doon ka kabahan,dun k kbhan
kapag binalikan ka na,kpag binlikn k n
ikaw pa matapang,ikw p mtpang
Yan pala masakit,yn pla mskit
gumamit ka ng hindi sayo,gumm8 k nh de syo
kilala namin yan,klla nmin yn
taga dito yan samin dati,tga d2 yn smin dti
natatawa akong,nttwa aqng
anong kalokohan ito,anng kloqhn i2
bakit nasa kanya,Bkit nsa knya
bakit ka ganun,bkt k gnun
ang sakit noon,an sk8 nun
malinaw na niloko Yung,mlinw n niloq
pero bakit parang,pro bk8 prang
kampi ka pa doon sa kanya,kmpi k p dun s knya
May kaso yan,my kso yn
sobrang masakit yan,sobrng msk8 yn
Dapat waLang,dpat wlang
bayaran dapat ng babae yan,byran dpt nh ba2eng yn
sinayang mo,cnyang u
hindi mo ba alam,nd m b alm
Sayo naman,sau nman
kasuhan mo yan,ksuhn u nman
hindi pala kanya,ndi pla knya
ginamit mo pa pera niya,ginm8 m p pira nya
Ang Sama mong babae,ansma mung ba2e
dapat hindi niya tinanggap,dpt nd nia tinnggap
kasi hindi pala,kc hndi pla
kailangan ibalik niya,kelngn iblik nea
kahit ano pa dahilan,khit nu p dhiln
isa lang ang malinaw dyan,1 lng an mlinw jan
wala man lang,wla mn lng
Ngayon pa na malaki,ngyon p n mlaki
saka lang kinikilala,ska lng kiniqlla
kaya alam mo ba,kya alm u b
Parang tinatamad silang,prng tintmad clng
halata namang yung,hlta namn ung
Pagod na si,pgod n c
kasi nga iniisip niya,kac nha iniicp nia
pag usapin hindi kasuhan,pg uspn d ksuhn
sinong matino ang gagastos,cnong mtino an ggs2s
ganon kalaki sa hindi niya,gnon klki s di nia
paiyak iyak ka pa,pa iyak2x k p
pero kung gastusin,peor kubg gas2sin
parang mo sayo,prng m sau
iba din pinagbayad,ib dn pingbyad
alam mong hindi niya,alm mung d nia
wala kang karapatan gumamit,wla kng krptan gumm8
kapal ng mukha mo,kpal nh muka u
yun ang iisipin niyo,un an iicpin nio
bago kayo magwaldas,bgo kau mgwldas
Dapat talaga kasuhan,dpat tlaga ksuhn
para maturuan ng aral,pra ma2ruan nh arl
tapos sarap gumastos,tpos srap gums2s
niloko talaga,niloq tlga
Kahit pa binigyan ka,khit p bingyn k
dapat sana naisip mo rin,dpat sna naicp u rin
kung gaano kahirap hanapin,kun gno khirp hnpin
pero anong ginawa mo,pro anng ginwa u
